,1,2,3
0,probably,say,support
1,please,stock,8
2,anything,without,always
3,s8,day,s8
4,support,point,best
5,jack,amp,say
6,might,getting,many
7,submission,might,right
8,lg,support,point
9,us,things,software
10,things,first,probably
11,ios,lg,features
12,say,probably,things
13,amp,right,first
14,note,updates,sure
15,lot,life,look
16,first,lot,nexus
17,great,every,headphone
18,nexus,headphone,great
19,point,go,lg
20,charging,price,never
21,actually,actually,buy
22,sure,great,price
23,right,note,got
24,every,nexus,jack
25,pretty,’,devices
26,go,ca,since
27,buy,never,go
28,price,buy,[
29,since,used,]
30,work,jack,lot
31,thing,sure,something
32,apps,since,note
33,'d,pretty,need
34,never,going,work
35,going,thing,'ll
36,used,something,'d
37,using,devices,though
38,though,years,device
39,2,need,every
40,need,got,using
41,'ll,work,going
42,ca,'d,ca
43,year,back,actually
44,something,using,’
45,’,way,thing
46,devices,year,see
47,years,make,used
48,way,'ll,pretty
49,back,2,back
50,got,well,updates
51,make,though,2
52,well,samsung,way
53,could,apps,know
54,app,know,well
55,know,could,make
56,camera,camera,https
57,samsung,see,years
58,want,better,year
59,see,apple,apps
60,time,time,could
61,also,screen,new
62,good,new,camera
63,new,want,want
64,screen,much,app
65,better,iphone,time
66,much,think,'ve
67,'ve,device,screen
68,think,'re,'re
69,even,also,good
70,device,good,gt
71,really,app,battery
72,still,https,also
73,battery,'ve,samsung
74,https,``,much
75,``,even,better
76,'re,people,think
77,people,pixel,pixel
78,pixel,really,still
79,phones,'',iphone
80,'',still,really
81,iphone,http,``
82,use,gt,even
83,get,phones,use
84,apple,battery,'m
85,one,use,apple
86,gt,get,''
87,google,google,get
88,http,one,people
89,'m,android,phones
90,would,would,one
91,android,[,would
92,like,],android
93,],'m,google
94,[,like,like
95,phone,phone,(
96,(,(,)
97,),),phone
98,'s,'s,n't
99,n't,n't,'s
