,1,2,3
0,'s also,'s right,white nationalists
1,( ),health care,people would
2,'s really,'m going,`` n't
3,freedom speech,like 's,lot people
4,'s one,lot people,fake news
5,) n't,things like,left 's
6,people want,'s hard,civil rights
7,right wing,) [,looks like
8,said ``,like ``,people ''
9,something like,far left,'s right
10,n't work,would say,every time
11,never said,'s also,something like
12,someone else,obama 's,white supremacy
13,think 're,looks like,left wing
14,supreme court,know 's,'s ``
15,look like,) n't,n't agree
16,would like,something like,lying liberal
17,know 's,https //www.youtube.com/watch,national anthem
18,first place,supreme court,first amendment
19,makes sense,people want,things like
20,gt gt,gt 's,look like
21,first amendment,gt n't,obama 's
22,lot people,really n't,illegal immigration
23,even though,n't seem,like ``
24,white house,) 's,supreme court
25,'re right,first amendment,n't say
26,gt 's,said ``,republican party
27,years ago,good thing,saying ``
28,white supremacist,think 're,every single
29,trump n't,people would,sounds like
30,really n't,white house,'s pretty
31,'ve seen,'s pretty,last year
32,'re saying,free market,'s one
33,people would,republican party,'ve seen
34,national anthem,n't agree,liberal media
35,'re talking,n't say,far left
36,'m going,n't need,president trump
37,illegal immigration,even though,north korea
38,'s pretty,'ve seen,https //www.youtube.com/watch
39,gon na,'re talking,feel like
40,health care,'re going,) [
41,civil rights,`` '','' n't
42,'' 's,sounds like,federal government
43,identity politics,people like,n't matter
44,free market,pretty much,said ``
45,federal government,'s good,'m saying
46,saying ``,'' 's,'s going
47,n't need,trump n't,even though
48,climate change,n't matter,climate change
49,'' n't,makes sense,really n't
50,pretty much,feel like,n't need
51,things like,n't going,'s really
52,feel like,'s really,n't believe
53,n't matter,'' n't,many people
54,people like,gon na,people like
55,many people,say ``,right wing
56,'s going,north korea,civil war
57,sounds like,white supremacist,gon na
58,n't say,'s going,pretty much
59,north korea,n't believe,'re going
60,n't believe,'m saying,years ago
61,civil war,years ago,n't understand
62,n't agree,federal government,people 's
63,seems like,climate change,say ``
64,gt n't,black people,white house
65,'re going,identity politics,n't make
66,say ``,n't understand,identity politics
67,could n't,many people,seems like
68,people 's,people 's,black people
69,n't understand,'s like,'' 's
70,'s like,white people,white supremacist
71,white people,n't care,could n't
72,n't make,civil war,trump n't
73,united states,white supremacists,n't really
74,white supremacists,n't really,n't see
75,black people,seems like,'s like
76,n't care,could n't,n't mean
77,'' ``,n't make,n't care
78,n't really,n't mean,white people
79,n't like,united states,'' ``
80,n't get,n't see,let 's
81,'m saying,n't like,white supremacists
82,( http,free speech,united states
83,n't mean,'' ``,people n't
84,n't see,let 's,'m sure
85,let 's,people n't,think 's
86,people n't,'m sure,n't get
87,trump 's,trump 's,n't want
88,'m sure,n't get,free speech
89,free speech,think 's,n't even
90,n't want,( http,n't like
91,think 's,n't want,( http
92,n't even,n't know,n't know
93,n't know,n't even,n't think
94,wo n't,wo n't,trump 's
95,( https,n't think,wo n't
96,would n't,would n't,would n't
97,n't think,( https,( https
98,] (,] (,] (
99,ca n't,ca n't,ca n't
