,1,2,3
0,pretty,got,first
1,states,vote,american
2,'ll,wrong,'d
3,trying,liberal,look
4,party,states,nazi
5,issue,everyone,democrats
6,argument,trying,better
7,look,obama,support
8,everyone,violence,law
9,different,black,wrong
10,years,let,shit
11,yes,first,liberals
12,let,nothing,lot
13,back,http,’
14,problem,support,everyone
15,http,work,free
16,lot,’,nothing
17,'d,'ll,anyone
18,nothing,better,take
19,person,problem,sure
20,better,president,back
21,bad,lot,http
22,though,money,bad
23,antifa,though,hate
24,work,free,mean
25,law,person,person
26,black,back,state
27,support,party,speech
28,money,every,racist
29,free,bad,nazis
30,first,nazis,believe
31,every,mean,[
32,president,agree,]
33,care,'d,party
34,wrong,believe,years
35,],political,anything
36,[,anything,obama
37,conservatives,],violence
38,take,[,black
39,believe,years,'ve
40,sure,antifa,need
41,political,conservatives,still
42,state,state,liberal
43,many,take,https
44,anything,sure,well
45,mean,someone,go
46,agree,'ve,saying
47,never,media,things
48,thing,never,every
49,go,saying,antifa
50,something,still,political
51,'ve,go,thing
52,someone,need,conservatives
53,country,country,many
54,need,https,something
55,still,many,never
56,actually,things,someone
57,https,ca,president
58,ca,thing,point
59,well,actually,country
60,things,something,actually
61,left,well,ca
62,much,point,much
63,conservative,conservative,media
64,us,much,could
65,saying,said,government
66,good,also,good
67,could,good,way
68,time,time,make
69,said,going,conservative
70,see,say,said
71,going,way,also
72,way,could,see
73,really,us,us
74,point,see,going
75,also,white,time
76,white,really,say
77,make,make,really
78,say,government,know
79,government,know,want
80,know,left,white
81,want,want,even
82,even,even,'m
83,get,get,left
84,right,right,get
85,one,'m,one
86,'m,one,'re
87,(,'re,think
88,trump,think,right
89,'re,(,gt
90,),gt,(
91,think,),)
92,gt,trump,would
93,like,like,like
94,would,would,trump
95,``,``,``
96,'','',''
97,people,people,people
98,'s,'s,'s
99,n't,n't,n't
