,1,2,3
0,shit,public,life
1,agree,care,years
2,different,reason,libertarianism
3,give,though,agree
4,law,lot,different
5,nothing,wrong,world
6,problem,life,public
7,business,'ll,though
8,care,world,less
9,force,bad,bad
10,power,first,shit
11,life,yes,argument
12,believe,law,society
13,yes,less,saying
14,world,country,lot
15,sure,society,anything
16,means,everyone,care
17,argument,every,said
18,healthcare,agree,power
19,'d,anything,sure
20,every,means,'d
21,wrong,'d,problem
22,country,capitalism,trump
23,anything,price,healthcare
24,everyone,problem,communism
25,libertarians,sure,never
26,many,power,believe
27,tax,person,country
28,'ve,argument,person
29,person,never,mean
30,take,believe,every
31,never,better,everyone
32,thing,mean,'ve
33,society,private,thing
34,mean,saying,use
35,saying,without,rights
36,use,thing,tax
37,actually,libertarians,better
38,better,take,go
39,socialism,well,take
40,said,use,socialism
41,without,tax,something
42,communism,said,well
43,going,go,many
44,still,actually,without
45,well,going,private
46,go,'ve,still
47,something,something,actually
48,taxes,still,property
49,time,many,going
50,market,see,things
51,good,taxes,taxes
52,need,someone,point
53,see,rights,good
54,private,property,need
55,someone,really,https
56,really,us,ca
57,things,time,libertarians
58,way,ca,capitalism
59,much,say,see
60,also,work,system
61,work,need,know
62,could,libertarian,time
63,ca,much,someone
64,libertarian,things,market
65,point,system,pay
66,system,could,say
67,us,good,[
68,free,market,]
69,capitalism,point,really
70,rights,also,work
71,pay,free,could
72,property,pay,way
73,money,way,much
74,say,state,also
75,know,know,state
76,state,make,us
77,https,https,money
78,],money,make
79,[,want,free
80,make,[,libertarian
81,even,],even
82,want,even,want
83,get,right,'m
84,right,get,right
85,'m,'m,get
86,one,one,one
87,think,think,'re
88,like,'re,think
89,'re,like,like
90,government,government,gt
91,(,(,(
92,),``,)
93,would,),government
94,``,'',would
95,'',would,``
96,people,gt,''
97,gt,people,people
98,'s,'s,'s
99,n't,n't,n't
