,1,2,3
0,back,point,long
1,recommendations,deck,use
2,thing,everyone,said
3,always,someone,end
4,little,set,maybe
5,every,right,getting
6,enough,another,amp
7,everyone,every,right
8,use,buy,point
9,look,enough,look
10,since,thing,table
11,getting,maybe,best
12,box,box,since
13,someone,use,back
14,looking,look,try
15,ca,gt,bit
16,take,looking,little
17,expansion,since,enough
18,maybe,always,find
19,post,ca,thing
20,find,back,everyone
21,gt,things,]
22,things,actually,[
23,probably,table,ca
24,say,take,take
25,try,probably,sure
26,bit,amp,buy
27,actually,say,someone
28,feel,expansion,say
29,2,feel,might
30,might,never,always
31,better,many,actually
32,right,find,2
33,many,sure,things
34,buy,bit,every
35,never,need,probably
36,need,better,need
37,thanks,try,feel
38,card,might,better
39,go,2,many
40,two,rules,different
41,sure,card,card
42,different,going,https
43,pretty,different,gt
44,rules,go,never
45,going,way,pretty
46,love,see,go
47,got,group,'ll
48,group,pretty,two
49,amp,got,going
50,something,something,group
51,fun,love,'d
52,way,https,though
53,'ll,],still
54,new,[,got
55,see,'d,love
56,lot,still,something
57,though,make,rules
58,make,two,could
59,still,'ll,players
60,could,though,player
61,playing,even,well
62,'d,first,see
63,know,lot,fun
64,even,know,new
65,first,could,way
66,player,playing,know
67,well,want,make
68,great,new,great
69,want,well,want
70,players,fun,lot
71,cards,great,first
72,'re,player,even
73,board,board,playing
74,https,players,board
75,much,much,also
76,good,'re,cards
77,also,cards,much
78,time,also,good
79,``,good,'re
80,'',``,played
81,[,'',time
82,],time,'ve
83,'ve,think,'m
84,think,played,think
85,played,people,really
86,people,'ve,would
87,really,'m,get
88,'m,would,``
89,would,really,''
90,get,get,people
91,one,one,one
92,play,play,play
93,like,like,like
94,(,(,(
95,games,),)
96,),games,games
97,n't,n't,n't
98,'s,'s,'s
99,game,game,game
