,1,2,3
0,made,ice,saying
1,new,put,someone
2,2,big,2
3,points,look,maybe
4,many,fan,always
5,us,made,since
6,playing,need,many
7,amp,around,leafs
8,shit,maybe,fan
9,thing,2,take
10,look,since,made
11,need,always,points
12,getting,us,shit
13,yeah,new,playoffs
14,trade,’,look
15,take,getting,two
16,maybe,never,new
17,played,points,something
18,two,take,us
19,mean,thing,getting
20,something,something,thing
21,actually,actually,line
22,leafs,fans,sure
23,never,playing,playing
24,every,every,ca
25,great,played,bad
26,line,two,said
27,saying,yeah,actually
28,’,bad,played
29,bad,said,point
30,ca,point,probably
31,sure,line,though
32,fans,ca,lot
33,got,guy,never
34,guy,gt,every
35,probably,say,’
36,lot,probably,fans
37,said,want,guys
38,league,great,guy
39,'ll,league,top
40,pretty,best,great
41,guys,pretty,best
42,point,sure,'ll
43,though,go,right
44,first,guys,pretty
45,best,back,better
46,back,right,'ve
47,'ve,lot,gt
48,want,'ve,first
49,top,teams,'d
50,go,first,back
51,say,top,say
52,well,though,teams
53,way,'d,well
54,'d,'ll,go
55,gt,make,want
56,https,got,games
57,right,way,league
58,teams,know,got
59,games,well,know
60,also,games,way
61,make,https,make
62,better,better,still
63,know,player,much
64,years,years,also
65,much,play,https
66,player,also,years
67,still,much,going
68,play,still,see
69,last,going,could
70,time,even,last
71,going,nhl,[
72,could,``,]
73,see,could,player
74,hockey,players,time
75,really,people,play
76,season,hockey,hockey
77,``,last,even
78,even,time,'m
79,nhl,[,'re
80,'',],nhl
81,],see,really
82,[,'',players
83,players,'re,season
84,game,really,game
85,good,season,get
86,people,'m,people
87,'re,good,good
88,get,game,``
89,one,one,year
90,'m,get,''
91,year,year,one
92,think,think,think
93,team,team,would
94,(,would,team
95,like,like,like
96,would,(,(
97,),),)
98,'s,n't,n't
99,n't,'s,'s
