,1,2,3
0,understand,basically,post
1,countries,literally,system
2,look,different,market
3,back,made,saying
4,',around,back
5,years,least,real
6,immigration,best,immigrants
7,part,system,american
8,maybe,yeah,money
9,everyone,everyone,first
10,yes,use,everyone
11,care,idea,though
12,reason,enough,support
13,’,problem,mean
14,might,new,fucking
15,yeah,back,social
16,free,shit,hillary
17,believe,country,state
18,political,political,literally
19,use,years,hot
20,social,anything,new
21,without,money,left
22,problem,since,probably
23,'ll,party,'d
24,different,every,'ll
25,someone,social,policy
26,first,might,years
27,policy,free,political
28,every,world,point
29,state,never,got
30,less,policy,world
31,money,first,party
32,system,said,'
33,anything,many,said
34,world,sure,every
35,http,state,tax
36,never,ca,shit
37,many,'ll,country
38,saying,less,white
39,sure,got,someone
40,probably,mean,pretty
41,pretty,tax,never
42,trump,work,work
43,tax,someone,many
44,work,things,lot
45,country,need,sub
46,said,point,need
47,take,go,go
48,'d,thing,ca
49,need,'d,well
50,mean,http,something
51,go,government,better
52,bad,pretty,free
53,ca,well,’
54,lot,lot,things
55,thing,bad,thing
56,better,probably,bernie
57,well,something,bad
58,government,still,still
59,going,trump,amp
60,things,better,see
61,though,amp,'ve
62,'ve,see,say
63,something,say,going
64,time,us,way
65,actually,actually,could
66,say,going,actually
67,way,though,government
68,still,take,time
69,could,right,make
70,see,'ve,http
71,point,way,much
72,right,time,know
73,want,make,us
74,know,want,right
75,make,could,want
76,us,know,really
77,much,much,good
78,really,even,even
79,https,really,take
80,],also,also
81,[,get,get
82,also,good,'m
83,good,'re,one
84,even,one,trump
85,get,'m,'re
86,one,think,think
87,'re,https,would
88,'m,],like
89,think,[,https
90,``,``,[
91,like,gt,]
92,'',would,gt
93,gt,'',``
94,would,like,people
95,(,people,''
96,),(,(
97,people,),)
98,'s,n't,n't
99,n't,'s,'s
